feature,coefficient,abs_coef
delivered_output_quantity,0.08056098313498761,0.08056098313498761
llm_attainability,-0.07369433514738802,0.07369433514738802
status_band_encoded,-0.05803369893692137,0.05803369893692137
allocated_amount,0.03437757269920101,0.03437757269920101
allocated_time_hours,0.032573701776042546,0.032573701776042546
delivered_output_quality_score,0.010320953643194597,0.010320953643194597
volatility_measure,0.0013965848296186782,0.0013965848296186782
trailing_6_period_slope,0.0,0.0
variance_from_target,0.0,0.0
allocation_percentage_of_parent,-0.0,0.0
target_value_final_period,0.0,0.0
observed_value,0.0,0.0
