period_id,avg_composite_raw,avg_composite,at_risk_count,avg_coherence,avg_coherence_norm,avg_attainability,avg_relevance,avg_integrity,budget_shock,market_shock,any_shock,shock_label
1,0.52,0.52,1,0.724,0.656,0.105,0.431,0.819,0,0,0,
2,0.502,0.502,4,0.729,0.662,0.136,0.431,0.714,0,0,0,
3,0.459,0.459,6,0.728,0.66,0.129,0.431,0.551,0,0,0,
4,0.348,0.348,19,0.733,0.667,0.123,0.431,0.106,0,0,0,
5,0.351,0.351,19,0.723,0.655,0.127,0.438,0.118,0,0,0,
6,0.356,0.356,18,0.675,0.594,0.114,0.405,0.23,0,0,0,
7,0.443,0.443,6,0.729,0.662,0.133,0.431,0.478,0,0,0,
8,0.354,0.354,17,0.733,0.667,0.139,0.431,0.115,0,0,0,
9,0.345,0.345,17,0.713,0.642,0.129,0.431,0.108,0,0,0,
10,0.346,0.346,18,0.726,0.658,0.123,0.431,0.105,1,0,1,Budget Shock
11,0.363,0.363,15,0.703,0.63,0.123,0.452,0.175,1,0,1,Budget Shock
12,0.4,0.4,12,0.598,0.498,0.14,0.405,0.457,1,0,1,Budget Shock
13,0.343,0.343,19,0.675,0.595,0.118,0.459,0.119,0,0,0,
14,0.358,0.358,17,0.629,0.538,0.101,0.538,0.165,0,1,1,Market Shock
15,0.369,0.369,16,0.616,0.521,0.116,0.552,0.191,0,1,1,Market Shock
16,0.335,0.335,19,0.615,0.52,0.112,0.466,0.147,0,1,1,Market Shock
17,0.335,0.335,19,0.615,0.52,0.1,0.488,0.137,0,1,1,Market Shock
18,0.394,0.394,10,0.605,0.508,0.112,0.439,0.419,0,0,0,
19,0.324,0.324,21,0.615,0.52,0.099,0.452,0.13,0,0,0,
20,0.329,0.329,20,0.616,0.522,0.1,0.473,0.126,0,0,0,
21,0.319,0.319,22,0.615,0.52,0.101,0.431,0.13,0,0,0,
22,0.33,0.33,19,0.615,0.52,0.103,0.459,0.143,0,0,0,
23,0.316,0.316,20,0.615,0.52,0.092,0.459,0.099,0,0,0,
24,0.296,0.296,26,0.615,0.52,0.005,0.452,0.111,0,0,0,
