period_id,l2_name,l1_name,n_goals,avg_composite,avg_composite_raw,at_risk_count,avg_coherence,avg_coherence_norm,avg_attainability,avg_relevance,avg_integrity,budget_shock,market_shock
1,Content & SEO,Marketing,3,0.528,0.528,0,0.827,0.769,0.097,0.39,0.799,0,0
1,Core Platform,Product,3,0.487,0.487,0,0.731,0.642,0.112,0.327,0.777,0,0
1,Customer Success,Operations,3,0.588,0.588,0,0.696,0.595,0.109,0.633,0.915,0,0
1,Data & Analytics,Operations,2,0.563,0.563,0,0.825,0.767,0.101,0.575,0.75,0,0
1,Events & Community,Marketing,3,0.49,0.49,0,0.561,0.414,0.101,0.453,0.847,0,0
1,Finance & Legal,G&A,2,0.508,0.508,0,0.783,0.711,0.107,0.393,0.75,0,0
1,General Admin,G&A,2,0.472,0.472,0,0.808,0.744,0.103,0.21,0.767,0,0
1,HR & Recruiting,G&A,2,0.511,0.511,0,0.8,0.733,0.106,0.21,0.926,0,0
1,Infrastructure & DevOps,Operations,2,0.381,0.381,0,0.45,0.267,0.099,0.216,0.759,0,0
1,New Features,Product,3,0.593,0.593,0,0.856,0.807,0.099,0.512,0.905,0,0
1,Paid Acquisition,Marketing,3,0.558,0.558,0,0.872,0.83,0.097,0.512,0.75,0,0
1,Partnerships,Marketing,3,0.525,0.525,0,0.682,0.576,0.099,0.487,0.833,0,0
1,Research & Innovation,Product,2,0.566,0.566,0,0.716,0.621,0.098,0.575,0.875,0,0
1,Technical Debt,Product,2,0.429,0.429,1,0.46,0.28,0.101,0.393,0.763,0,0
2,Content & SEO,Marketing,3,0.502,0.502,0,0.806,0.742,0.1,0.39,0.71,0,0
2,Core Platform,Product,3,0.432,0.432,1,0.739,0.652,0.092,0.327,0.571,0,0
2,Customer Success,Operations,3,0.591,0.591,0,0.683,0.577,0.36,0.633,0.688,0,0
2,Data & Analytics,Operations,2,0.563,0.563,0,0.825,0.767,0.096,0.575,0.758,0,0
2,Events & Community,Marketing,3,0.469,0.469,0,0.597,0.463,0.097,0.453,0.731,0,0
2,Finance & Legal,G&A,2,0.6,0.6,0,0.783,0.711,0.481,0.393,0.744,0,0
2,General Admin,G&A,2,0.436,0.436,1,0.785,0.714,0.097,0.21,0.653,0,0
2,HR & Recruiting,G&A,2,0.493,0.493,0,0.8,0.733,0.087,0.21,0.875,0,0
2,Infrastructure & DevOps,Operations,2,0.337,0.337,1,0.45,0.267,0.101,0.216,0.582,0,0
2,New Features,Product,3,0.548,0.548,0,0.856,0.807,0.098,0.512,0.727,0,0
2,Paid Acquisition,Marketing,3,0.559,0.559,0,0.872,0.83,0.1,0.512,0.751,0,0
2,Partnerships,Marketing,3,0.489,0.489,0,0.682,0.576,0.098,0.487,0.69,0,0
2,Research & Innovation,Product,2,0.558,0.558,0,0.8,0.733,0.101,0.575,0.755,0,0
2,Technical Debt,Product,2,0.443,0.443,1,0.46,0.28,0.097,0.393,0.823,0,0
3,Content & SEO,Marketing,3,0.457,0.457,0,0.818,0.758,0.102,0.39,0.519,0,0
3,Core Platform,Product,3,0.445,0.445,1,0.739,0.652,0.103,0.327,0.612,0,0
3,Customer Success,Operations,3,0.545,0.545,0,0.696,0.595,0.365,0.633,0.483,0,0
3,Data & Analytics,Operations,2,0.498,0.498,0,0.825,0.767,0.106,0.575,0.485,0,0
3,Events & Community,Marketing,3,0.427,0.427,1,0.606,0.475,0.102,0.453,0.547,0,0
3,Finance & Legal,G&A,2,0.445,0.445,0,0.783,0.711,0.111,0.393,0.493,0,0
3,General Admin,G&A,2,0.433,0.433,1,0.808,0.744,0.102,0.21,0.611,0,0
3,HR & Recruiting,G&A,2,0.505,0.505,0,0.8,0.733,0.109,0.21,0.901,0,0
3,Infrastructure & DevOps,Operations,2,0.301,0.301,2,0.45,0.267,0.1,0.216,0.437,0,0
3,New Features,Product,3,0.469,0.469,0,0.792,0.723,0.101,0.512,0.472,0,0
3,Paid Acquisition,Marketing,3,0.499,0.499,0,0.872,0.83,0.099,0.512,0.513,0,0
3,Partnerships,Marketing,3,0.464,0.464,0,0.682,0.576,0.1,0.487,0.586,0,0
