goal_id,bucket_id,metric_name,metric_unit,start_period,end_period,target_value_final_period,initial_value,minimum_viable_allocation,optimal_allocation_min,optimal_allocation_max,red_low_max,orange_low_max,green_min,green_max,orange_high_min,red_high_min,scenario_story
1,19,Performance Metric - Google Ads - Search,score,1,24,85.0,60.0,0.0358383622077627,0.0511976602968039,0.0565868876964674,0.0490419693369384,0.0511976602968039,0.0511976602968039,0.0565868876964674,0.0565868876964674,0.0587425786563328,underfunded
2,20,Performance Metric - Google Ads - Display,score,1,24,85.0,60.0,0.0264221126445072,0.0377458752064389,0.0417191252281693,0.0361565751977467,0.0377458752064389,0.0377458752064389,0.0417191252281693,0.0417191252281693,0.0433084252368614,dynamic
3,21,ROAS - Social,ratio,1,24,3.5,2.0,0.0348528567781773,0.0497897953973962,0.055030826491859,0.0476933829596111,0.0497897953973962,0.0497897953973962,0.055030826491859,0.055030826491859,0.0571272389296441,optimal
4,22,Organic Traffic,visitors,1,24,50000.0,25000.0,0.0227026258729633,0.0324323226756619,0.0396395054924757,0.0295494495489364,0.0324323226756619,0.0324323226756619,0.0396395054924757,0.0396395054924757,0.0425223786192012,optimal
5,23,SEO Ranking Score,score,1,24,85.0,60.0,0.0208731501568893,0.0298187859384133,0.0329576055108778,0.0285632581094274,0.0298187859384133,0.0298187859384133,0.0329576055108778,0.0329576055108778,0.0342131333398636,underfunded
6,24,Video Engagement Rate,percentage,1,24,45.0,25.0,0.0183619463411651,0.0262313519159501,0.0275765494501014,0.0256932729022896,0.0262313519159501,0.0262313519159501,0.0275765494501014,0.0275765494501014,0.0281146284637619,overfunded
7,25,Partner Count,count,1,24,40.0,15.0,0.0245915011214905,0.0351307158878436,0.0429375416406977,0.0320079855867019,0.0351307158878436,0.0351307158878436,0.0429375416406977,0.0429375416406977,0.0460602719418394,dynamic
8,26,Co-Marketing ROI,ratio,1,24,4.0,2.5,0.0221415642324629,0.0316308060463756,0.0349603645775731,0.0302989826338967,0.0316308060463756,0.0316308060463756,0.0349603645775731,0.0349603645775731,0.0362921879900521,optimal
9,27,Channel Revenue,dollars,1,24,250000.0,100000.0,0.0162277684304866,0.0231825263292666,0.0283341988468814,0.0211218573222207,0.0231825263292666,0.0231825263292666,0.0283341988468814,0.0283341988468814,0.0303948678539273,dynamic
10,28,Virtual Event Attendance,attendees,1,24,500.0,200.0,0.0160638172128828,0.0229483103041183,0.0280479348161446,0.0209084604993078,0.0229483103041183,0.0229483103041183,0.0280479348161446,0.0280479348161446,0.0300877846209552,overfunded
11,29,Event Lead Generation,leads,1,24,150.0,50.0,0.01132719985786,0.0161817140826571,0.0197776505454699,0.0147433394975321,0.0161817140826571,0.0161817140826571,0.0197776505454699,0.0197776505454699,0.0212160251305949,underfunded
12,30,Community Engagement Score,score,1,24,80.0,55.0,0.0113812052325947,0.0162588646179925,0.0179703240514654,0.0155742808446033,0.0162588646179925,0.0162588646179925,0.0179703240514654,0.0179703240514654,0.0186549078248545,dynamic
13,31,API Response Time,ms,1,24,100.0,250.0,0.0409540491830223,0.0585057845471747,0.0646642881837194,0.0560423830925568,0.0585057845471747,0.0585057845471747,0.0646642881837194,0.0646642881837194,0.0671276896383373,overfunded
14,32,Page Load Time,seconds,1,24,1.5,3.5,0.0297729709764354,0.0425328156806221,0.0470099541733191,0.0407419602835432,0.0425328156806221,0.0425328156806221,0.0470099541733191,0.0470099541733191,0.048800809570398,optimal
15,33,Performance Metric - APIs & Integrations,score,1,24,85.0,60.0,0.0210533428335235,0.0300762040478908,0.0332421202634582,0.0288098375616638,0.0300762040478908,0.0300762040478908,0.0332421202634582,0.0332421202634582,0.0345084867496852,dynamic
16,34,Feature Adoption Rate,percentage,1,24,65.0,30.0,0.0324280463531057,0.0463257805044367,0.0487014615559463,0.0453755080838329,0.0463257805044367,0.0463257805044367,0.0487014615559463,0.0487014615559463,0.0496517339765502,overfunded
17,35,Performance Metric - A/B Testing,score,1,24,85.0,60.0,0.0197173093153184,0.0281675847361692,0.031132593655766,0.0269815811683305,0.0281675847361692,0.0281675847361692,0.031132593655766,0.031132593655766,0.0323185972236047,optimal
18,36,Launch Success Rate,percentage,1,24,95.0,75.0,0.0144389464669107,0.020627066381301,0.0216848646572651,0.0202039470709153,0.020627066381301,0.020627066381301,0.0216848646572651,0.0216848646572651,0.0221079839676508,optimal
19,37,Code Quality Score,score,1,24,88.0,65.0,0.0250797867019354,0.0358282667170506,0.0395996632135822,0.0343197081184379,0.0358282667170506,0.0358282667170506,0.0395996632135822,0.0395996632135822,0.0411082218121949,underfunded
20,38,System Uptime,percentage,1,24,99.9,97.5,0.0201522562433497,0.0287889374904997,0.0302652932592432,0.0281983951830022,0.0287889374904997,0.0287889374904997,0.0302652932592432,0.0302652932592432,0.0308558355667407,dynamic
21,39,POC Success Rate,percentage,1,24,70.0,40.0,0.0148134394840825,0.0211620564058322,0.0222472900676697,0.0207279629410971,0.0211620564058322,0.0211620564058322,0.0222472900676697,0.0222472900676697,0.0226813835324047,optimal
22,40,Innovation Pipeline,projects,1,24,8.0,3.0,0.0078661007552853,0.0112372867932647,0.0137344616362124,0.0102384168560856,0.0112372867932647,0.0112372867932647,0.0137344616362124,0.0137344616362124,0.0147333315733915,overfunded
23,41,Time to Value,days,1,24,10.0,30.0,0.0149647885771866,0.0213782693959808,0.0236286135429262,0.0204781317372027,0.0213782693959808,0.0213782693959808,0.0236286135429262,0.0236286135429262,0.0245287512017043,overfunded
24,42,Ticket Resolution Time,hours,1,24,4.0,24.0,0.0134051229424789,0.0191501756321127,0.0211659835933877,0.0183438524476027,0.0191501756321127,0.0191501756321127,0.0211659835933877,0.0211659835933877,0.0219723067778977,underfunded
25,43,NPS Score,score,1,24,70.0,35.0,0.0098435394277694,0.0140621991825278,0.0155424306754254,0.0134701065853687,0.0140621991825278,0.0140621991825278,0.0155424306754254,0.0155424306754254,0.0161345232725845,overfunded
26,44,Infrastructure Reliability,percentage,1,24,99.95,98.0,0.0213931923424994,0.0305617033464278,0.0321289701847061,0.0299347966111164,0.0305617033464278,0.0305617033464278,0.0321289701847061,0.0321289701847061,0.0327558769200174,dynamic
27,45,Performance Metric - CI/CD Pipeline,score,1,24,85.0,60.0,0.0142951312241465,0.020421616034495,0.0225712598275997,0.0195617585172531,0.020421616034495,0.020421616034495,0.0225712598275997,0.0225712598275997,0.0234311173448416,underfunded
28,46,Data Pipeline Reliability,percentage,1,24,99.5,95.0,0.01156636970885,0.0165233852983571,0.0173707383905806,0.0161844440614678,0.0165233852983571,0.0165233852983571,0.0173707383905806,0.0173707383905806,0.01770967962747,dynamic
29,47,Performance Metric - Analytics & Reporting,score,1,24,85.0,60.0,0.0140958820713145,0.0201369743875921,0.0222566559020755,0.0192891017817988,0.0201369743875921,0.0201369743875921,0.0222566559020755,0.0222566559020755,0.0231045285078689,underfunded
30,48,Budget Variance,percentage,1,24,5.0,15.0,0.012639370861428,0.0180562440877543,0.0199569013601495,0.0172959811787963,0.0180562440877543,0.0180562440877543,0.0199569013601495,0.0199569013601495,0.0207171642691076,optimal
31,49,Performance Metric - Legal & Compliance,score,1,24,85.0,60.0,0.012356193563178,0.0176517050902543,0.0195097793102811,0.0169084754022436,0.0176517050902543,0.0176517050902543,0.0195097793102811,0.0195097793102811,0.0202530089982918,dynamic
32,50,Time to Hire,days,1,24,25.0,60.0,0.0104872173468232,0.0149817390668903,0.0165587642318261,0.014350929000916,0.0149817390668903,0.0149817390668903,0.0165587642318261,0.0165587642318261,0.0171895742978005,overfunded
33,51,Employee Satisfaction,score,1,24,85.0,65.0,0.0101189863740098,0.014455694820014,0.0159773469063313,0.0138470339854871,0.014455694820014,0.014455694820014,0.0159773469063313,0.0159773469063313,0.0165860077408582,optimal
34,52,Operational Efficiency,score,1,24,88.0,65.0,0.0094319083085255,0.013474154726465,0.014892486802935,0.012906821895877,0.013474154726465,0.013474154726465,0.014892486802935,0.014892486802935,0.015459819633523,optimal
35,53,Vendor SLA Compliance,percentage,1,24,98.0,85.0,0.0097229769846502,0.0138899671209288,0.0146022731271303,0.0136050447184482,0.0138899671209288,0.0138899671209288,0.0146022731271303,0.0146022731271303,0.0148871955296109,underfunded
