goal_idx,goal_id,bucket_id,relevance_rule,coherence_rule,integrity_rule,attainability_label
0,1,19,0.46202605253053736,0.41304103463258796,0.3993228319989852,0.3
1,2,20,0.0,0.8618957341219426,0.3326880220564962,0.1
2,3,21,0.24626381569297565,0.8773556254958853,0.4463821260630634,0.1
3,4,22,0.9425065737668157,0.7322669133881191,0.4447347700304878,0.3
4,5,23,0.1275,0.4573567317392617,0.43581036800703715,0.1
5,6,24,0.0,0.7270898389790916,0.36315756774780283,0.1
6,7,25,0.3351765731217433,0.17604624188829113,0.4211289370373573,0.1
7,8,26,0.45408140825936194,0.7284908221675501,0.44189396245925117,0.1
8,9,27,0.2899495981036195,0.6925599529012366,0.3595011458798911,0.1
9,10,28,0.4951178088223006,0.475,0.4376874662278222,0.1
10,11,29,0.1819254288589093,0.4640484869922899,0.39700832887317594,0.1
11,12,30,0.0,0.2917599789923766,0.3572745629870705,0.1
12,13,31,0.28666010506450906,0.504185803505063,0.39253600049520565,0.1
13,14,32,0.14637320725611913,0.8006091903321906,0.4391954438728117,0.1
14,15,33,0.0,0.3287585594216561,0.40237998589906454,0.1
15,16,34,0.255,0.5543272435387454,0.3420792497763576,0.1
16,17,35,0.25536921374369864,0.8288647198877737,0.4585137922347776,0.1
17,18,36,0.28986919740637096,0.9632665502369554,0.42560345470160477,0.1
18,19,37,0.5241371479932686,0.37141119743723594,0.34049475783624983,0.1
19,20,38,0.0,0.171516466244412,0.42847541844464065,0.1
20,21,39,0.37422828150235526,0.9416290624646362,0.4880179910464515,0.1
21,22,40,0.1338459261502178,0.5605470654308968,0.4207621875464159,0.3
22,23,41,0.3688879623916671,0.6204376361297641,0.4094774229249485,0.1
23,24,42,0.3254959315748296,0.4389971983308014,0.3935907827407178,0.9
24,25,43,0.2945929643637132,0.702593066530087,0.39449668546067873,0.1
25,26,44,0.255,0.03981087656493446,0.4044918817310519,0.1
26,27,45,0.003334406488502293,0.42440280893878773,0.3270205775689251,0.1
27,28,46,0.31108522132713756,0.7917124174068945,0.4000335098895802,0.1
28,29,47,0.5032800185239746,0.38434351637160413,0.34168116270468163,0.1
29,30,48,0.255,0.792403423282241,0.4631303561586554,0.1
30,31,49,0.23373279820427656,0.5278312959174756,0.43700264271343786,0.3
31,32,50,0.255,0.5083548016914621,0.4482196797511355,0.1
32,33,51,0.0,0.9263843057735508,0.5139162011794562,0.1
33,34,52,0.255,0.9226530949337662,0.47505318210122016,0.1
34,35,53,0.0,0.38230205682640783,0.45261499377719505,0.1
